City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kulachi,31.9286,70.4592,103.21,27,6,20.85,PK,1692033918
1,puerto natales,-51.7236,-72.4875,36.34,93,98,4.21,CL,1692033918
2,kharan,28.5833,65.4167,92.39,9,51,6.13,PK,1692033918
3,puerto ayora,-0.7393,-90.3518,80.56,87,79,7.0,EC,1692033918
4,brookings,44.3114,-96.7984,70.05,69,20,18.41,US,1692033639
5,stanley,54.868,-1.6985,63.72,94,100,8.05,GB,1692033919
6,luderitz,-26.6481,15.1594,60.33,61,89,13.96,NA,1692033919
7,blackmans bay,-43.0167,147.3167,37.53,91,50,3.76,AU,1692033919
8,rio preto da eva,-2.6994,-59.6997,100.51,30,8,3.4,BR,1692033919
9,yigo village,13.5361,144.8886,78.12,91,0,6.91,GU,1692033919
10,waitangi,-43.9535,-176.5597,52.83,96,69,4.0,NZ,1692033794
11,olonkinbyen,70.9221,-8.7187,41.9,89,35,11.21,SJ,1692033920
12,edd,13.9297,41.6925,93.27,57,20,6.08,ER,1692033920
13,longyearbyen,78.2186,15.6401,46.24,81,75,5.75,SJ,1692033920
14,colonia,50.9333,6.95,79.83,65,40,6.91,DE,1692033647
15,albany,42.6001,-73.9662,79.95,64,79,1.99,US,1692033677
16,avarua,-21.2078,-159.775,69.85,88,75,3.44,CK,1692033921
17,port-aux-francais,-49.35,70.2167,43.0,90,100,39.68,TF,1692033921
18,sovetskaya gavan',48.9723,140.2878,56.55,96,74,4.88,RU,1692033921
19,champerico,14.3,-91.9167,91.94,67,97,7.07,GT,1692033921
20,happy valley-goose bay,53.3168,-60.3315,59.31,72,75,16.11,CA,1692033721
21,sur,22.5667,59.5289,93.0,47,100,10.47,OM,1692033922
22,praia da vitoria,38.7333,-27.0667,80.76,73,20,4.38,PT,1692033860
23,sinop,41.7711,34.8709,73.65,72,0,5.23,TR,1692033922
24,nogliki,51.8333,143.1667,56.35,79,100,5.26,RU,1692033923
25,port elizabeth,-33.918,25.5701,59.29,67,40,17.27,ZA,1692033923
26,ust'-ordynskiy,52.805,104.7508,60.58,95,86,5.23,RU,1692033923
27,talnakh,69.4865,88.3972,58.21,66,63,5.37,RU,1692033923
28,bethel,41.3712,-73.414,83.35,67,0,4.61,US,1692033923
29,polyarnyy,69.1989,33.4478,61.18,94,89,6.82,RU,1692033924
30,adamstown,-25.066,-130.1015,69.64,80,86,22.73,PN,1692033924
31,port mathurin,-19.6833,63.4167,72.91,74,2,24.27,MU,1692033924
32,woodward,36.4337,-99.3904,78.03,51,0,11.5,US,1692033924
33,ouargaye,11.5033,0.0572,75.36,88,99,7.02,BF,1692033926
34,berdigestyakh,62.0989,126.6992,58.12,97,100,7.81,RU,1692033926
35,nema,57.5067,50.5011,70.36,50,98,6.8,RU,1692033926
36,ushuaia,-54.8,-68.3,33.46,93,75,8.05,AR,1692033926
37,hermanus,-34.4187,19.2345,48.79,70,16,4.14,ZA,1692033927
38,touros,-5.1989,-35.4608,82.98,63,36,19.53,BR,1692033922
39,thompson,55.7435,-97.8558,75.36,57,40,10.36,CA,1692033438
40,broome,42.2506,-75.833,79.88,65,40,5.01,US,1692033927
41,oodweyne,9.4092,45.064,85.28,32,50,19.06,SO,1692033927
